gene,mean_expr_CKD,mean_expr_Ref,diff_mean_log_expr,direction,cohen_d,t_stat,p_value,adj_p_value,f_classif_score,f_classif_p_value,statistical_rank_score
PPP1R8,0.05970725515131341,0.06355426158956487,-0.003847006438251463,down_in_CKD,-0.32134464452308115,-0.8976635401946202,0.37757611205316993,0.5437617666193796,0.8448740227936258,0.36510370329979697,0.0003270917514995872
PPP1R9A,0.16712038342964672,0.08770613549106683,0.07941424793857989,up_in_CKD,1.5503421187471078,4.081461726996067,0.0009239256579786422,0.027161769805741524,19.665496514955848,0.00010777353806517899,0.19280991393158173
PPP1R9B,0.07104638361038017,0.057349742024667555,0.013696641585712613,up_in_CKD,0.7103003369761215,1.9581123128196916,0.06220634065075601,0.2602277046493662,4.12794465306866,0.05082714660028092,0.005687867135666009
PPP2CA,0.2042377859331261,0.22613721521672764,-0.02189942928360153,down_in_CKD,-0.683758130062479,-2.019716504669661,0.052366300272293616,0.238185382706058,3.8252060216716735,0.059551039138453124,0.009330018886361204
PPP2CB,0.35863178593962536,0.4332009491875992,-0.07456916324797386,down_in_CKD,-1.0675479128413945,-3.241601347971528,0.003345057689805797,0.055901012186566366,9.324479014461964,0.004614660317507584,0.09971310325403122
PPP2R1A,0.38962028406028076,0.4461519884078742,-0.056531704347593414,down_in_CKD,-0.7627281526784798,-2.177546885751574,0.037517631934370924,0.20037469888731596,4.759807376359034,0.036836092814936994,0.030103363685728066
PPP2R1B,0.06451771100628544,0.08863657757521842,-0.024118866568932987,down_in_CKD,-1.3047976333118243,-3.901862465714654,0.0005372248514165598,0.02029434461178056,13.929519795513857,0.0007642796056626721,0.053267314042624934
PPP2R2A,0.165353507884609,0.18151011233379175,-0.016156604449182738,down_in_CKD,-0.5579508029917594,-1.614313038654055,0.11663747253492537,0.35319969501442433,2.547074442756674,0.12064419274519621,0.00407441169703714
PPP2R2B,0.03029498628373086,0.0333900981785215,-0.003095111894790642,down_in_CKD,-0.21253510139308046,-0.5945570395481269,0.5572091608268092,0.696001625644165,0.36958229447045726,0.5476603915497413,0.0001035341101898708
PPP2R2C,0.0014916071212101002,0.003127822584454367,-0.0016362154632442668,down_in_CKD,-0.5725602455737987,-1.7480082235564076,0.09335729819478523,0.31866045659850806,2.68220646663978,0.11158753136288596,0.000465298023975705
PPP2R2D,0.10105184797833658,0.12912778773394298,-0.028075939755606405,down_in_CKD,-1.0894531367469995,-3.1829066817869784,0.0033122523987661524,0.055613478720849444,9.71106657682808,0.003930072506011687,0.03838170526918425
PPP2R3A,0.26573633684076337,0.2369733504575506,0.028762986383212757,up_in_CKD,0.3652246857716797,0.9936971850991745,0.3317258287123953,0.5018154953177741,1.0913651271574545,0.3042471752203411,0.0031457703951909533
PPP2R3B,0.041026585761037605,0.03657605554911705,0.004450530211920559,up_in_CKD,0.3592998993255386,0.9697940735786726,0.3440522277811949,0.5119228963673361,1.0562434171800723,0.31202631698950417,0.00046500374388935194
PPP2R3C,0.08705607380709245,0.09316734595091139,-0.006111272143818944,down_in_CKD,-0.3161378295109837,-0.9022311444581115,0.3742030463522455,0.5404095566741817,0.8177164956647655,0.3728227760107231,0.0005163802765757772
PPP2R5A,0.18055109821309123,0.19854834738568694,-0.01799724917259571,down_in_CKD,-0.41442756563959404,-1.165995758300579,0.25365729225592026,0.4651586455592918,1.4052289676887637,0.24485767195131516,0.002479215884408109
PPP2R5B,0.03929206766743639,0.03915875411296207,0.00013331355447432358,up_in_CKD,0.010963381605606531,0.030510877602456524,0.9758985533444801,0.9853066868243262,0.000983419660064877,0.9751838581111681,9.395787923975885e-09
PPP2R5C,0.25965206155220993,0.25574565527834625,0.003906406273863683,up_in_CKD,0.10915842561567063,0.3103631328038728,0.7584932135391717,0.8469966070914328,0.09749096086002464,0.7569522250218795,3.0752493096945857e-05
PPP2R5D,0.045741463457706306,0.04206398576734181,0.003677477690364493,up_in_CKD,0.4012347868670828,1.1484956910770885,0.25983472292547627,0.47149592244123767,1.3171856252095095,0.25987796941749614,0.00048179373897448523
PPP2R5E,0.21157465580176602,0.1874419264597815,0.024132729341984516,up_in_CKD,0.712590786796925,1.957026698603459,0.06273951782751652,0.2610741782427227,4.15460969531886,0.050129726156396666,0.01002977124012587
PPP3CA,0.1972970721018579,0.1518155180790811,0.04548155402277679,up_in_CKD,1.1056252168576086,3.0504234891428292,0.005564228536360405,0.07271392344169071,10.001512801239004,0.003487909119327623,0.057244189619000116
PPP3CB,0.1387420821864497,0.1311995040053337,0.007542578181116005,up_in_CKD,0.2844057621764532,0.7885057656842971,0.4379332322540866,0.5981094613102516,0.6617997618477485,0.42212996497350097,0.0004788395424033601
PPP3CC,0.04674804652146058,0.06376278151644696,-0.01701473499498638,down_in_CKD,-1.0731215801492398,-3.0272097573311445,0.00526431366873615,0.07076818328546604,9.422099392761826,0.004430446886211466,0.021000668282673326
PPP4C,0.3642419867112254,0.3590356420118794,0.005206344699345999,up_in_CKD,0.08859180958097874,0.24927224671281062,0.8050069491138079,0.8783710683338312,0.06421507138499231,0.8016268458445414,2.59779205902882e-05
PPP4R1,0.11072790872471248,0.12065272260691172,-0.009924813882199235,down_in_CKD,-0.2895156899019459,-0.8235242339855089,0.4168829456423965,0.5792644250023304,0.6857945566314525,0.41392883674874265,0.0006813471094622419
PPP4R1-AS1,0.00046055580211042,0.00029172645725356115,0.00016882934485685884,up_in_CKD,0.20533508967865025,0.5841590997889851,0.5635944451932061,0.7010794929486261,0.3449659013455036,0.5612306891631551,5.34672282167672e-06
PPP4R2,0.19072549356214258,0.19994936485982767,-0.009223871297685093,down_in_CKD,-0.2604074377150575,-0.7320060224919928,0.47041148457668047,0.6261648695773837,0.5548257295962671,0.46196261799790916,0.0004883465679498543
PPP4R3A,0.16707740370850369,0.11154166202335679,0.0555357416851469,up_in_CKD,0.577570869290417,1.648484318213509,0.10980354622688109,0.34418161815686876,2.729357255887264,0.1086138920205222,0.01485791831034152
PPP4R3B,0.20733255817022592,0.13171077520881314,0.07562178296141278,up_in_CKD,0.6699892063830314,1.9089148628684238,0.066063865889428,0.2681187394309326,3.67269984547989,0.06457017822696448,0.028964248951316964
PPP4R4,0.0024370064109627194,0.0007007125768528778,0.0017362938341098416,up_in_CKD,1.3028729804747123,3.5052246478925593,0.0023842354656855433,0.046561779686343834,13.888456390235946,0.0007758587187660014,0.0030131439737846807
PPP5C,0.11631814544720977,0.13050593775986638,-0.014187792312656614,down_in_CKD,-0.5731028696623934,-1.6454948693869387,0.11019266880971351,0.3447462777046673,2.687292811761303,0.1112622820482513,0.0037606206945945825
PPP5D1,0.00899045625844258,0.009568427341215822,-0.0005779710827732414,down_in_CKD,-0.12123073896963209,-0.3568436274524146,0.7236637917644255,0.8215342646586047,0.12024729876373423,0.7311093843778724,5.981995903344099e-06
PPP6C,0.1943371386384825,0.1997024382673523,-0.00536529962886978,down_in_CKD,-0.14122247736518537,-0.40856380258308994,0.6856808656003524,0.7942661679869918,0.16317644819858423,0.6890219826003113,7.579580385048241e-05
PPP6R1,0.08473199888989656,0.06273669773826762,0.02199530115162894,up_in_CKD,0.5437849760631182,1.5723974045125355,0.12606301373844406,0.3684347233304828,2.419380819752448,0.12999358891891005,0.005186637529973336
PPP6R2,0.27229775435569487,0.23205222329799413,0.040245531057700734,up_in_CKD,0.5989975782166189,1.603782674037584,0.1260980627641008,0.3684634166787433,2.935620807622155,0.09663065674966033,0.010452920240615135
PPP6R3,0.22902141671118362,0.1908343192199776,0.038187097491206023,up_in_CKD,0.8272061394538688,2.258836269307979,0.034337447068374966,0.1915175371165697,5.598572703955964,0.024406671177257765,0.02267402812750938
PPRC1,0.025975603300478902,0.038004007921045024,-0.012028404620566122,down_in_CKD,-0.8574543850880944,-2.626997657031832,0.015089707396282627,0.12487913740206451,6.01550200232838,0.02000797879527761,0.009318630058394804
PPT1,0.2806000432764508,0.26159028947866453,0.019009753797786244,up_in_CKD,0.33993973011191947,0.9420820840279216,0.3553403850832411,0.5221306068614103,0.9454828917973466,0.3383982715907221,0.0018237592601439377
PPT2,0.029534601753933167,0.03230222172099204,-0.0027676199670588764,down_in_CKD,-0.2124097365363846,-0.6140522817829432,0.543686078252592,0.6861115856145682,0.3691464232537334,0.5478952113006482,9.6178523069618e-05
PPT2-EGFL8,0.0018259278781179798,0.0022610557466953493,-0.00043512786857736953,down_in_CKD,-0.2338995401152141,-0.6855088795088629,0.49814674054213487,0.6494398836323299,0.4476190489045253,0.5084200775007175,1.9079074256104325e-05
PPTC7,0.09164825281730322,0.1440028484083924,-0.05235459559108917,down_in_CKD,-1.9720599055850685,-5.58505195331328,5.268174588408252e-06,0.00134389327395492,31.819256764496096,3.420503620191647e-06,0.29648599520661856
PPWD1,0.10109854409570472,0.0957886152161436,0.005309928879561124,up_in_CKD,0.21675903781063716,0.6130505852355971,0.5447339968648763,0.6869073090020719,0.38441847659394446,0.5397792087919248,0.00018772617839953284
PQBP1,0.1496041532790888,0.16141220895090416,-0.011808055671815365,down_in_CKD,-0.3542922632339711,-0.9950242878760015,0.32852730587674184,0.5018154953177741,1.027006427351859,0.318707633792941,0.0012527747223866836
