gene,rank_score,adj_p_value,diff_mean_log_expr,cohen_d,pct_expr_case,pct_expr_control,traditional_rank,combined_ml_biomarker_score,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,ml_rank,random_forest_importance,rf_rank,traditional_score_scaled,ml_score_scaled,rf_score_scaled,consensus_score,mean_rank
TP53INP1,0.1188559343523165,0.0187282817299305,0.0413938685258381,1.6621349403483754,0.0874144588446687,0.0663279445727482,177,0.261171111641326,0.825,0.85,90,1.0408035849535386e-18,390,0.026746691685484315,0.3385647657928518,8.858715767634001e-17,0.12177048582611207,219.0
EPG5,0.1168085130403142,0.0052755476149928,0.0285249170210042,1.7978249205408123,0.0665213900676683,0.0575519630484988,181,0.2611347796423622,0.825,0.8527777777777776,91,3.714349089738572e-19,448,0.02570991441570909,0.3384622356323245,3.161438269760854e-17,0.12139071668267788,240.0
ADAM10,0.3093535448509941,0.0251153409909699,0.120589415179469,1.6032800536439205,0.2186603968344993,0.1744572748267898,42,0.2230622326602288,0.775,0.7361111111111112,137,0.0,461,0.12321124998314706,0.23102018826114756,0.0,0.11807714608143154,213.33333333333334
ZNRF2,0.1228015270253537,0.0049745590907272,0.0320638116325876,1.6628321209007393,0.1110983675497954,0.1137182448036951,170,0.2545257435608861,0.8166666666666667,0.8638888888888889,102,9.469938061237196e-19,400,0.02874466873848084,0.3198113067076849,8.060261401323308e-17,0.11618532514872193,224.0
GPC4,0.1862503108774737,0.0172673757022895,0.0614149289946761,1.7203883753413425,0.1086133730932446,0.0707621247113163,95,0.1827525682830472,0.6916666666666667,0.8305555555555555,175,0.0019999999999999,112,0.06087398990317398,0.11726491805130826,0.17022838690604644,0.11612243162017621,127.33333333333333
TMEM63A,0.1539233490705435,0.0049863992831369,0.0356538863907729,1.8752196086915984,0.0822150858278854,0.0662355658198614,126,0.2481613013093357,0.8083333333333332,0.95,110,2.0187581246670894e-18,337,0.044504198787959005,0.30185063004995843,1.7182496955778562e-16,0.11545160961263921,191.0
CFI,0.4989554732241311,0.0136025664190041,0.1474539910776188,1.8130316518177625,0.2532209351225293,0.1763510392609699,20,0.1848950490613146,0.725,0.8166666666666667,174,2.1869337616551456e-18,330,0.219222250987418,0.12331107307683009,1.8613910325847316e-16,0.11417777468808275,174.66666666666666
FAM117B,0.1060684764249367,0.004509645175899,0.0262924732017298,1.7197021724766666,0.0582635623351301,0.0485912240184757,198,0.2214888738944547,0.7583333333333333,0.8583333333333334,140,0.001,190,0.020271353346669817,0.22658011528353764,0.08511419345302748,0.11065522069441165,176.0
PLS1,0.2161193079426345,0.0060815899055076,0.0521250431511343,1.871029961406084,0.0989601253966433,0.0739953810623556,73,0.2287688533925919,0.7833333333333332,0.8944444444444445,131,2.7933600631172587e-18,315,0.07599911195138426,0.24712446978829694,2.377545887961234e-16,0.1077078605798938,173.0
ABCC3,0.2009485446588192,0.0103469421090642,0.0511990750599091,1.977065751035797,0.0576518713919792,0.0169515011547344,84,0.2286317167682434,0.7833333333333332,0.925,132,0.0,500,0.06831691071337029,0.24673746548053446,0.0,0.10501812539796825,238.66666666666666
RAP1GDS1,0.0769605639557457,0.0099984758863922,0.0235231547294216,1.6357928531890584,0.0830179301907711,0.0857736720554272,281,0.2474189688919698,0.8083333333333333,0.85,112,3.1228580974712697e-18,308,0.0055316308275412535,0.2997557422351449,2.65799548234523e-16,0.10176245768756215,233.66666666666666
RCAN3,0.1388688116898055,0.0100246521752895,0.0407283230491213,1.7057306575533286,0.0816798562526283,0.0646189376443418,145,0.2297388359023666,0.7833333333333332,0.8722222222222221,129,0.0001243131868131,274,0.03688085225354867,0.24986179405539505,0.01058081663117254,0.09910782098003874,182.66666666666666
CCDC51,0.1030287697950461,0.005705841309885,0.0254366352393301,1.8052521672512176,0.0686814237106701,0.054041570438799,203,0.2360661568028255,0.7916666666666666,0.861111111111111,118,0.0001255144032921,271,0.018732100667125526,0.267717712973527,0.01068305720294511,0.09904429028119921,197.33333333333334
TP53,0.2012823478241469,0.0136025664190041,0.0582592476365281,1.8511471587066828,0.1087280651450854,0.0724249422632794,83,0.2219746991879037,0.775,0.8333333333333334,139,5.375816750816544e-19,430,0.06848594262310084,0.22795113110281962,4.5755830689702497e-17,0.09881235790864017,217.33333333333334
RCBTB2,0.0952662713026585,0.0109361174699046,0.028228596018218,1.7208459429694718,0.0803035516305386,0.0752424942263279,223,0.2342655121981609,0.7916666666666666,0.8277777777777777,122,0.0,460,0.0148013112656509,0.262636231479688,0.0,0.09247918091511297,268.3333333333333
RAB3D,0.0660367337594179,0.0186437319537441,0.0232904275462635,1.6394410539532105,0.0570784111327751,0.0491454965357967,339,0.2339839637053311,0.7916666666666666,0.8694444444444445,123,0.0,457,0.0,0.26184169187302336,0.0,0.08728056395767446,306.3333333333333
CTXN1,0.2203673189483982,0.0122999246446614,0.0605912121967619,1.9040660058080687,0.0831708529265588,0.0414318706697459,67,0.1710673901158091,0.6916666666666667,0.9333333333333332,187,0.0011291727140783,154,0.0781502282002542,0.08428894019581551,0.09610862482794053,0.08618259774133674,136.0
