gene,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score
PRKAG2-AS1,0.9428571428571428,0.9416666666666667,0.9333333333333332,0.44166666666666665
DYRK2,0.9428571428571428,0.9416666666666667,0.9583333333333333,0.44166666666666665
MEGF11,0.9380952380952381,0.9333333333333332,0.9333333333333332,0.43333333333333324
CTH,0.9333333333333333,0.9333333333333332,0.9666666666666666,0.43333333333333324
DDIT4,0.9380952380952381,0.9333333333333332,0.9777777777777779,0.43333333333333324
ESM1,0.9380952380952381,0.9333333333333332,1.0,0.43333333333333324
MLIP,0.9428571428571428,0.9333333333333332,0.9333333333333332,0.43333333333333324
HERPUD1,0.9380952380952381,0.9333333333333332,0.9333333333333332,0.43333333333333324
CDC42EP4,0.9428571428571428,0.9333333333333332,0.9666666666666666,0.43333333333333324
IP6K3,0.9142857142857143,0.925,0.925,0.42500000000000004
TMEM132C,0.9095238095238095,0.9166666666666666,0.95,0.41666666666666663
CEBPB,0.9095238095238095,0.9166666666666666,0.95,0.41666666666666663
NR4A1,0.9142857142857143,0.9166666666666666,0.95,0.41666666666666663
ERF,0.9142857142857143,0.9166666666666666,0.9583333333333333,0.41666666666666663
RASGRP1,0.9142857142857143,0.9166666666666666,0.925,0.41666666666666663
PGAM2,0.9142857142857143,0.9166666666666666,0.9583333333333333,0.41666666666666663
CSRP1,0.9142857142857143,0.9083333333333332,0.9833333333333332,0.4083333333333332
NAP1L5,0.9047619047619048,0.9083333333333332,0.975,0.4083333333333332
GABARAPL1,0.9095238095238095,0.9083333333333332,0.9583333333333333,0.4083333333333332
GALNT7,0.9095238095238095,0.9083333333333332,0.9055555555555556,0.4083333333333332
PRR26,0.9095238095238095,0.9083333333333332,0.888888888888889,0.4083333333333332
MCL1,0.9095238095238095,0.9083333333333332,0.975,0.4083333333333332
HSF1,0.9047619047619048,0.9083333333333332,0.9527777777777778,0.4083333333333332
ITGB8,0.9095238095238095,0.9083333333333332,0.9361111111111111,0.4083333333333332
MAP3K1,0.9095238095238095,0.9083333333333332,0.9666666666666666,0.4083333333333332
PLEKHH1,0.9095238095238095,0.9083333333333332,0.9055555555555556,0.4083333333333332
