gene,mean_expr_CKD,mean_expr_Ref,diff_mean_log_expr,direction,cohen_d,t_stat,p_value,adj_p_value,f_classif_score,f_classif_p_value,statistical_rank_score,random_forest_importance,knn_permutation_importance_mean,knn_permutation_importance_std,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score,rf_importance_scaled,knn_permutation_importance_scaled,knn_single_gene_importance_scaled,statistical_score_scaled,combined_ml_biomarker_score
SH3BP5,0.11135678414212333,0.23311073984103428,-0.12175395569891095,down_in_CKD,-1.8771477632827587,-5.697681894787459,6.042972723513511e-06,0.0013557771628166075,28.830139569797435,7.446203286072053e-06,0.6554388357246206,0.00011705685618729253,0.0,0.0,0.7238095238095237,0.7333333333333332,0.8111111111111111,0.23333333333333317,0.004036443316803191,0.0,0.46666666666666634,0.030414212277409456,0.19436408644886968
COL18A1-AS1,0.003405254873393246,0.009246532218424088,-0.005841277345030841,down_in_CKD,-1.664251229356599,-4.952625374640183,2.8469062921791775e-05,0.003575270629269175,22.66144489975869,4.263500443873415e-05,0.023785147665034582,1.6667431845723615e-18,0.0,0.0,0.7476190476190475,0.7416666666666666,0.8583333333333334,0.24166666666666659,5.747390291628833e-17,0.0,0.48333333333333317,0.0011036979969826313,0.19355407293272983
GAS6,0.3121485759486484,0.5145926311936909,-0.2024440552450425,down_in_CKD,-1.6088071088495788,-4.580032490577589,7.955470715687467e-05,0.006708959461107367,21.176675292149515,6.702048042279412e-05,0.7078441443683217,2.5629427355329115e-18,0.0,0.0,0.7238095238095238,0.7333333333333332,0.711111111111111,0.23333333333333317,8.837733570803144e-17,0.0,0.46666666666666634,0.032845966538339974,0.19323585997433457
GNA11,0.19427689077339597,0.2643482558102953,-0.07007136503689934,down_in_CKD,-1.8371724506734937,-5.417124616223114,6.910476674259391e-06,0.0014849846542241848,27.615294110566232,1.0336578156219284e-05,0.3640932293160299,0.0,0.0,0.0,0.7285714285714285,0.7333333333333333,0.7833333333333334,0.23333333333333328,0.0,0.0,0.46666666666666656,0.016894953673202505,0.19004565740130716
PQLC1,0.12637043648815613,0.21187092990449144,-0.08550049341633531,down_in_CKD,-1.7606010740794962,-4.860920106450919,6.057855342484988e-05,0.005769089091137679,25.361313889498977,1.9372163293280465e-05,0.33702558741065813,0.0,0.0,0.0,0.738095238095238,0.7333333333333333,0.8944444444444443,0.23333333333333328,0.0,0.0,0.46666666666666656,0.015638938677007254,0.1897944544020681
ZNF672,0.06284757251397652,0.09774875739315994,-0.03490118487918342,down_in_CKD,-1.8053179385990046,-5.473712988005929,1.0386042741379204e-05,0.0019564876618663033,26.66595975895111,1.3424191382417555e-05,0.17065789265724637,0.00010630841121495422,0.0,0.0,0.7285714285714285,0.7333333333333333,0.775,0.23333333333333328,0.0036658072832742835,0.0,0.46666666666666656,0.00791900798547369,0.1897167911770711
BAIAP2,0.06116536768157686,0.13086871044713164,-0.06970334276555477,down_in_CKD,-1.7011310788695617,-5.192857470881044,2.6083831079773645e-05,0.0034710639432304286,23.676929570421155,3.1533831352968195e-05,0.2916384715303533,0.0,0.0,0.0,0.738095238095238,0.7333333333333333,0.7694444444444445,0.23333333333333328,0.0,0.0,0.46666666666666656,0.013532848372613166,0.18937323634118927
MEF2D,0.07084481274161797,0.1234530326718874,-0.05260821993026943,down_in_CKD,-1.807896429538724,-5.440847833804659,9.229500299719829e-06,0.0017731642628799483,26.742186817681635,1.3143181194705567e-05,0.26167207143778165,2.458589637170749e-18,0.0,0.0,0.7238095238095238,0.7333333333333332,0.9055555555555556,0.23333333333333317,8.47789530058879e-17,0.0,0.46666666666666634,0.01214232281335537,0.18909513122933763
NDUFB7,1.1883296941716057,1.3869288253658225,-0.1985991311942168,down_in_CKD,-1.7191582563339851,-5.033830275749143,1.9704798961844217e-05,0.002921065976348714,24.181405448083424,2.720669157037295e-05,0.8653233219319131,0.0010000000000000005,0.0,0.0,0.7047619047619047,0.7083333333333333,0.8444444444444444,0.20833333333333326,0.034482758620689676,0.0,0.4166666666666665,0.04015344494003672,0.18849045910294984
SSBP3,0.16335277651819408,0.21551483161443064,-0.05216205509623656,down_in_CKD,-1.5704205949485053,-4.659328265021735,6.241356157529783e-05,0.005878627991231786,20.178170550314324,9.157445785321023e-05,0.1827328045158949,1.4161511469663105e-18,0.0,0.0,0.7285714285714285,0.7333333333333333,0.7333333333333334,0.23333333333333328,4.883279817125209e-17,0.0,0.46666666666666656,0.008479317983116616,0.18836253026329
