gene,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score
SYNE1,0.7761904761904762,0.7916666666666666,0.9,0.29166666666666663
ABLIM1,0.7904761904761906,0.7916666666666666,0.9333333333333332,0.29166666666666663
ZFAND5,0.7857142857142857,0.7916666666666666,0.9083333333333332,0.29166666666666663
SWI5,0.7904761904761906,0.7916666666666666,0.8944444444444445,0.29166666666666663
ANXA1,0.819047619047619,0.7916666666666666,0.825,0.29166666666666663
KLF4,0.8095238095238095,0.7916666666666666,0.8208333333333332,0.29166666666666663
GNG12,0.7904761904761906,0.7916666666666666,0.9,0.29166666666666663
GATA6,0.7857142857142858,0.7916666666666666,0.9,0.29166666666666663
MYO1B,0.7809523809523808,0.7916666666666666,0.8833333333333334,0.29166666666666663
GMFG,0.8095238095238095,0.7916666666666665,0.85,0.2916666666666665
KIAA0040,0.7857142857142857,0.7916666666666665,0.8222222222222222,0.2916666666666665
RASSF7,0.780952380952381,0.7833333333333333,0.9166666666666666,0.2833333333333333
PNMA8A,0.8095238095238095,0.7833333333333333,0.7833333333333333,0.2833333333333333
KCTD3,0.7809523809523808,0.7833333333333332,0.8527777777777779,0.2833333333333332
RAB20,0.7809523809523808,0.7833333333333332,0.8666666666666666,0.2833333333333332
CCDC198,0.819047619047619,0.7833333333333332,0.7833333333333332,0.2833333333333332
MYO6,0.780952380952381,0.7833333333333332,0.75,0.2833333333333332
TAF11,0.7857142857142857,0.775,0.825,0.275
TBC1D8,0.7761904761904762,0.775,0.913888888888889,0.275
CD9,0.8142857142857143,0.775,0.9666666666666666,0.275
FLT1,0.7619047619047619,0.7749999999999999,0.888888888888889,0.2749999999999999
PGD,0.7523809523809524,0.7749999999999999,0.8333333333333333,0.2749999999999999
VAMP5,0.780952380952381,0.7749999999999999,0.8722222222222221,0.2749999999999999
CHSY1,0.7761904761904762,0.7666666666666666,0.8638888888888889,0.2666666666666666
CD69,0.7571428571428571,0.7666666666666666,0.8722222222222221,0.2666666666666666
SOD1,0.7809523809523811,0.7666666666666666,0.8416666666666666,0.2666666666666666
GAS6,0.780952380952381,0.7666666666666666,0.8638888888888889,0.2666666666666666
MCL1,0.780952380952381,0.7666666666666666,0.8972222222222221,0.2666666666666666
SLC22A23,0.7809523809523811,0.7666666666666666,0.8319444444444445,0.2666666666666666
CAMK2N1,0.7571428571428572,0.7666666666666666,0.9,0.2666666666666666
TMEM51,0.7571428571428571,0.7666666666666665,0.8944444444444445,0.2666666666666665
DHRS3,0.7571428571428571,0.7666666666666665,0.8305555555555555,0.2666666666666665
GYPC,0.780952380952381,0.7666666666666665,0.8583333333333334,0.2666666666666665
IL18R1,0.780952380952381,0.7666666666666665,0.925,0.2666666666666665
SLC38A1,0.7571428571428571,0.7583333333333333,0.8111111111111111,0.2583333333333333
TGFBR1,0.7571428571428571,0.7583333333333333,0.7916666666666666,0.2583333333333333
DECR2,0.7523809523809524,0.7583333333333333,0.8416666666666666,0.2583333333333333
ZNF608,0.780952380952381,0.7583333333333333,0.9027777777777779,0.2583333333333333
SMAD1,0.7476190476190475,0.7583333333333332,0.8833333333333334,0.2583333333333332
DENND6A,0.7761904761904761,0.7583333333333332,0.836111111111111,0.2583333333333332
CLEC1A,0.7476190476190476,0.7583333333333332,0.8055555555555556,0.2583333333333332
SFXN1,0.7571428571428571,0.7583333333333332,0.8444444444444444,0.2583333333333332
MYC,0.7761904761904763,0.75,0.9,0.25
USP13,0.742857142857143,0.75,0.8944444444444445,0.25
TSLP,0.7523809523809524,0.75,0.736111111111111,0.25
IMPA2,0.7523809523809524,0.75,0.8666666666666666,0.25
KCTD2,0.7428571428571428,0.7499999999999999,0.7333333333333334,0.2499999999999999
ATP6V1C1,0.7523809523809524,0.7499999999999999,0.7833333333333333,0.2499999999999999
MALSU1,0.7761904761904762,0.7499999999999999,0.8444444444444444,0.2499999999999999
EIF1B,0.7809523809523811,0.7499999999999998,0.8333333333333334,0.24999999999999978
GNA11,0.7476190476190476,0.7499999999999998,0.8277777777777778,0.24999999999999978
COPZ2,0.761904761904762,0.7416666666666666,0.75,0.24166666666666659
CALCOCO2,0.7523809523809524,0.7416666666666666,0.9527777777777778,0.24166666666666659
HYAL2,0.7571428571428571,0.7416666666666666,0.7805555555555556,0.24166666666666659
MTSS1,0.7190476190476189,0.7416666666666666,0.8583333333333332,0.24166666666666659
NCOA3,0.719047619047619,0.7416666666666666,0.7833333333333333,0.24166666666666659
RRAS,0.7523809523809525,0.7416666666666666,0.8583333333333334,0.24166666666666659
TET2,0.7571428571428572,0.7416666666666666,0.8055555555555556,0.24166666666666659
B4GALT6,0.7476190476190475,0.7416666666666666,0.861111111111111,0.24166666666666659
CHIC1,0.7238095238095238,0.7416666666666665,0.725,0.24166666666666647
IPO11,0.7476190476190476,0.7333333333333333,0.7652777777777777,0.23333333333333328
RPL27A,0.7523809523809524,0.7333333333333333,0.8944444444444443,0.23333333333333328
ZBTB16,0.7476190476190476,0.7333333333333333,0.8666666666666666,0.23333333333333328
MRPS36,0.7476190476190476,0.7333333333333333,0.8763888888888889,0.23333333333333328
RGL1,0.7190476190476189,0.7333333333333332,0.8194444444444444,0.23333333333333317
PPP1R18,0.7476190476190476,0.7333333333333332,0.8388888888888889,0.23333333333333317
FRMD6,0.7476190476190476,0.7333333333333332,0.8208333333333334,0.23333333333333317
RASSF9,0.7285714285714286,0.725,0.8305555555555555,0.22499999999999998
PPFIBP1,0.7238095238095238,0.725,0.8416666666666668,0.22499999999999998
PERP,0.7238095238095238,0.725,0.8916666666666666,0.22499999999999998
SP1,0.719047619047619,0.725,0.6888888888888889,0.22499999999999998
SPARC,0.7238095238095238,0.725,0.8055555555555556,0.22499999999999998
TP53INP2,0.7095238095238094,0.725,0.7944444444444445,0.22499999999999998
IDI1,0.7238095238095237,0.7249999999999999,0.8277777777777778,0.22499999999999987
CXXC5,0.719047619047619,0.7249999999999999,0.7694444444444445,0.22499999999999987
NDEL1,0.7238095238095238,0.7249999999999999,0.825,0.22499999999999987
PRTG,0.7142857142857142,0.7166666666666666,0.9027777777777779,0.21666666666666656
DDIT4,0.7523809523809525,0.7166666666666666,0.8027777777777778,0.21666666666666656
JDP2,0.719047619047619,0.7166666666666666,0.8388888888888889,0.21666666666666656
