gene,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score
GAS6-AS1,0.8476190476190476,0.8166666666666667,0.8166666666666667,0.31666666666666665
KCNN4,0.8142857142857143,0.8166666666666667,0.9277777777777778,0.31666666666666665
AC018647.2,0.8476190476190476,0.8166666666666667,0.85,0.31666666666666665
GNAZ,0.8380952380952381,0.8166666666666667,0.8166666666666667,0.31666666666666665
LAD1,0.8380952380952381,0.8166666666666667,0.8694444444444445,0.31666666666666665
MAP3K1,0.8142857142857143,0.8166666666666667,0.8444444444444444,0.31666666666666665
MRPL10,0.8095238095238095,0.8166666666666667,0.8763888888888889,0.31666666666666665
NHS,0.8142857142857143,0.8166666666666667,0.8694444444444442,0.31666666666666665
AMBP,0.8428571428571429,0.8166666666666667,0.8166666666666667,0.31666666666666665
SRGAP1,0.8238095238095238,0.8166666666666667,0.8194444444444444,0.31666666666666665
HBEGF,0.8142857142857143,0.8166666666666667,0.8555555555555555,0.31666666666666665
ID2,0.8095238095238095,0.8166666666666667,0.8416666666666668,0.31666666666666665
TNF,0.8142857142857143,0.8083333333333333,0.925,0.30833333333333335
LPP-AS2,0.8142857142857143,0.8083333333333333,0.7916666666666667,0.30833333333333335
TXNIP,0.8095238095238095,0.8083333333333332,0.8777777777777779,0.30833333333333324
SP1,0.7857142857142857,0.8083333333333332,0.8666666666666666,0.30833333333333324
FILIP1L,0.8047619047619048,0.8083333333333332,0.9222222222222222,0.30833333333333324
ANKRD33B,0.8142857142857143,0.8083333333333332,0.8416666666666666,0.30833333333333324
AL450384.2,0.8238095238095238,0.8,0.8,0.30000000000000004
LINC00954,0.8095238095238095,0.8,0.8444444444444443,0.30000000000000004
CADPS2,0.8095238095238095,0.8,0.8694444444444445,0.30000000000000004
CPLANE2,0.8142857142857143,0.8,0.8,0.30000000000000004
CHST11,0.8047619047619048,0.8,0.8944444444444445,0.30000000000000004
OSGEPL1-AS1,0.8238095238095238,0.8,0.8,0.30000000000000004
ADH1B,0.8142857142857143,0.8,0.8,0.30000000000000004
TLR10,0.8095238095238096,0.7999999999999999,0.8388888888888889,0.29999999999999993
PIK3IP1,0.8095238095238096,0.7999999999999999,0.9,0.29999999999999993
LINC01943,0.8142857142857143,0.7999999999999999,0.8333333333333334,0.29999999999999993
E2F2,0.819047619047619,0.7999999999999999,0.7999999999999999,0.29999999999999993
ZNF584,0.8095238095238095,0.7999999999999999,0.8555555555555554,0.29999999999999993
AVPI1,0.8047619047619048,0.7999999999999999,0.8555555555555555,0.29999999999999993
LTA,0.8142857142857143,0.7999999999999999,0.8333333333333334,0.29999999999999993
ADGRL1,0.819047619047619,0.7999999999999998,0.7999999999999998,0.2999999999999998
AP002490.1,0.819047619047619,0.7999999999999998,0.7999999999999998,0.2999999999999998
NPIPB13,0.8190476190476191,0.7999999999999998,0.7999999999999998,0.2999999999999998
SPON2,0.780952380952381,0.7916666666666666,0.8444444444444443,0.29166666666666663
FAM53B,0.8,0.7916666666666666,0.8166666666666667,0.29166666666666663
TMCC3,0.780952380952381,0.7916666666666666,0.9194444444444443,0.29166666666666663
PAX8,0.8095238095238095,0.7916666666666666,0.9583333333333333,0.29166666666666663
TXK,0.780952380952381,0.7916666666666666,0.9,0.29166666666666663
EPHB3,0.8142857142857143,0.7916666666666666,0.8,0.29166666666666663
DNAJB6,0.7857142857142858,0.7916666666666666,0.8083333333333333,0.29166666666666663
CD247,0.7857142857142857,0.7916666666666666,0.8833333333333334,0.29166666666666663
PRDM5,0.8142857142857143,0.7916666666666666,0.8416666666666666,0.29166666666666663
PHC2,0.7761904761904763,0.7916666666666666,0.9833333333333332,0.29166666666666663
PDE4A,0.7761904761904762,0.7916666666666666,0.8402777777777779,0.29166666666666663
BIK,0.8142857142857143,0.7916666666666666,0.8486111111111111,0.29166666666666663
RNF144B,0.7714285714285715,0.7916666666666665,0.8083333333333332,0.2916666666666665
AL080317.1,0.8142857142857143,0.7833333333333333,0.7833333333333333,0.2833333333333333
SGK1,0.7857142857142857,0.7833333333333333,0.8666666666666666,0.2833333333333333
MILR1,0.7761904761904762,0.7833333333333332,0.8361111111111112,0.2833333333333332
SLC37A2,0.8142857142857143,0.7833333333333332,0.7944444444444445,0.2833333333333332
HAVCR2,0.7761904761904763,0.7833333333333332,0.8083333333333332,0.2833333333333332
FUT7,0.8095238095238095,0.7833333333333332,0.8166666666666667,0.2833333333333332
AC008014.1,0.8095238095238095,0.7833333333333332,0.7833333333333332,0.2833333333333332
AC034236.2,0.7857142857142858,0.7833333333333332,0.7805555555555556,0.2833333333333332
TAB2,0.7523809523809524,0.775,0.8861111111111111,0.275
CENPO,0.7857142857142858,0.775,0.825,0.275
MACC1,0.8095238095238095,0.7749999999999999,0.8680555555555556,0.2749999999999999
STK17B,0.8047619047619048,0.7749999999999999,0.8805555555555555,0.2749999999999999
NUAK2,0.7666666666666666,0.7666666666666666,0.8833333333333334,0.2666666666666666
CCR2,0.7857142857142858,0.7666666666666666,0.8194444444444444,0.2666666666666666
C1orf226,0.7857142857142857,0.7666666666666666,0.7888888888888889,0.2666666666666666
FRZB,0.7904761904761906,0.7666666666666666,0.7666666666666666,0.2666666666666666
CD207,0.7809523809523808,0.7666666666666666,0.8,0.2666666666666666
WASF2,0.7857142857142858,0.7666666666666666,0.8416666666666666,0.2666666666666666
AC074117.1,0.7857142857142857,0.7666666666666666,0.8,0.2666666666666666
IPCEF1,0.7761904761904762,0.7666666666666666,0.8361111111111112,0.2666666666666666
LINC01480,0.7857142857142857,0.7666666666666666,0.8333333333333334,0.2666666666666666
PLA2G16,0.7523809523809524,0.7583333333333333,0.8111111111111111,0.2583333333333333
PIP4K2A,0.7428571428571429,0.7583333333333333,0.8305555555555555,0.2583333333333333
SRGAP2,0.7476190476190475,0.7583333333333332,0.8722222222222221,0.2583333333333332
THEMIS2,0.7428571428571428,0.7583333333333332,0.7666666666666668,0.2583333333333332
PLCB3,0.7428571428571429,0.7583333333333332,0.8083333333333333,0.2583333333333332
KLC2,0.7476190476190476,0.7583333333333332,0.85,0.2583333333333332
TP53,0.7571428571428571,0.7583333333333332,0.8222222222222223,0.2583333333333332
PGM3,0.7428571428571428,0.7583333333333332,0.7833333333333334,0.2583333333333332
NFKBIA,0.7523809523809524,0.7583333333333332,0.9277777777777778,0.2583333333333332
FAM171A1,0.7523809523809524,0.75,0.8166666666666667,0.25
AC067852.2,0.7523809523809524,0.75,0.8111111111111111,0.25
ERCC6,0.7523809523809525,0.75,0.8388888888888889,0.25
NECTIN3,0.7761904761904762,0.75,0.788888888888889,0.25
SEMA3B,0.780952380952381,0.75,0.7611111111111112,0.25
ANO9,0.7428571428571429,0.75,0.8277777777777777,0.25
DCAF4L1,0.7904761904761906,0.75,0.75,0.25
ETS1,0.7761904761904762,0.75,0.888888888888889,0.25
CD209,0.780952380952381,0.75,0.8166666666666667,0.25
