gene,knn_single_gene_accuracy_mean,knn_single_gene_balanced_accuracy_mean,knn_single_gene_roc_auc_mean,knn_single_gene_importance_score
ANKRD10,0.8428571428571429,0.8249999999999998,0.8236111111111111,0.32499999999999984
RIC3,0.8190476190476191,0.8166666666666667,0.8555555555555555,0.31666666666666665
SLC16A4,0.8142857142857143,0.8166666666666667,0.9444444444444444,0.31666666666666665
AGRN,0.8095238095238095,0.8166666666666667,0.95,0.31666666666666665
USP2,0.8190476190476191,0.8166666666666667,0.961111111111111,0.31666666666666665
EGR1,0.8142857142857143,0.8166666666666667,0.8777777777777777,0.31666666666666665
CPNE8,0.8142857142857143,0.8166666666666667,0.8388888888888889,0.31666666666666665
MARCKS,0.8142857142857143,0.8083333333333333,0.8444444444444444,0.30833333333333335
NPR1,0.8142857142857143,0.8083333333333333,0.75,0.30833333333333335
FHOD1,0.8095238095238095,0.8083333333333332,0.861111111111111,0.30833333333333324
MUC1,0.8047619047619048,0.8083333333333332,0.9333333333333333,0.30833333333333324
CDC5L,0.8095238095238095,0.8083333333333332,0.888888888888889,0.30833333333333324
MT1X,0.8238095238095238,0.8083333333333332,0.8916666666666666,0.30833333333333324
CXADR,0.8047619047619048,0.8083333333333332,0.8444444444444444,0.30833333333333324
PALLD,0.819047619047619,0.8083333333333332,0.7888888888888889,0.30833333333333324
CAMK2N1,0.8095238095238095,0.8083333333333332,0.9166666666666666,0.30833333333333324
TMSB10,0.8095238095238095,0.8083333333333332,0.8666666666666666,0.30833333333333324
PTP4A1,0.8095238095238095,0.8083333333333332,0.8791666666666668,0.30833333333333324
STARD4-AS1,0.8142857142857143,0.8,0.8166666666666667,0.30000000000000004
C1QTNF6,0.8095238095238095,0.8,0.8013888888888889,0.30000000000000004
SEL1L3,0.819047619047619,0.8,0.8,0.30000000000000004
PDGFB,0.7904761904761906,0.8,0.9361111111111111,0.30000000000000004
CAMSAP3,0.8142857142857143,0.8,0.8222222222222222,0.30000000000000004
DENND3,0.7952380952380953,0.8,0.8416666666666668,0.30000000000000004
BEX4,0.7857142857142857,0.8,0.875,0.30000000000000004
BHLHE41,0.8095238095238096,0.7999999999999999,0.9305555555555556,0.29999999999999993
COX6A2,0.7904761904761904,0.7999999999999999,0.8277777777777777,0.29999999999999993
RHOB,0.8142857142857143,0.7999999999999999,0.9555555555555555,0.29999999999999993
NAPSA,0.8142857142857143,0.7999999999999999,0.8416666666666666,0.29999999999999993
AL355488.1,0.8190476190476191,0.7999999999999998,0.7999999999999998,0.2999999999999998
C6orf132,0.8190476190476191,0.7999999999999998,0.7999999999999998,0.2999999999999998
