gene,mean_expr_case,mean_expr_control,diff_mean_log_expr,cohen_d,t_stat,p_value,adj_p_value,pct_expr_case,pct_expr_control,pct_expr_diff,n_case_groups,n_control_groups,passes_expression_filter,direction,rank_score
CRTAP,0.26347626726433704,0.25266979289960717,0.010806474364729868,0.25404256930943386,0.6611612362686585,0.5147177006236563,1.0,0.21235233398325495,0.19655085669564246,0.015801477287612498,15,12,True,up_in_case,-0.0
CRTC2,0.06370704288882216,0.06927199595500311,-0.005564953066180947,-0.3279871077665214,-0.8669075026426011,0.39424314090248813,1.0,0.05495660817372023,0.054867652402381416,8.895577133881394e-05,15,12,True,down_in_case,-0.0
CRTC3,0.0681404450736378,0.06786353363964909,0.00027691143398871076,0.022731767319612434,0.05883118716662745,0.9535753147306979,1.0,0.0571166418167221,0.05810995891215026,-0.000993317095428159,15,12,True,up_in_case,-0.0
CRYBG1,0.11762123312675049,0.1227043555982228,-0.005083122471472315,-0.07700234589150595,-0.20785571083195498,0.8370725337688643,1.0,0.08967006919753795,0.08142102468066076,0.008249044516877191,15,12,True,down_in_case,-0.0
CRYBG3,0.14581840744595467,0.13009761573490006,0.015720791711054616,0.23918084848949592,0.6484409289191468,0.5228666752505028,1.0,0.11127040562755668,0.09042122033708808,0.0208491852904686,15,12,True,up_in_case,-0.0
CRYM,0.11215350130278871,0.08193265555448924,0.030220845748299474,0.25515305922838016,0.7312072435433105,0.4753815118417801,1.0,0.06292770577665635,0.056432903820890515,0.006494801955765836,15,12,True,up_in_case,-0.0
CS,0.13509893359885475,0.14605229212454351,-0.010953358525688767,-0.2246672372532601,-0.5503841632442743,0.5890619745686541,1.0,0.12008257827732538,0.13866450512899348,-0.018581926851668096,15,12,True,down_in_case,-0.0
CSAD,0.09363316799686912,0.0902016584338259,0.0034315095630432224,0.11872383402217922,0.31495640807293795,0.7554086816288041,1.0,0.0798638987651489,0.07149844872404058,0.008365450041108322,15,12,True,up_in_case,-0.0
CSE1L,0.12845743124037098,0.11824841423412262,0.010209017006248364,0.3216008356686347,0.8381968961114618,0.41004287389014027,1.0,0.11119394425966281,0.10484389412192191,0.006350050137740898,15,12,True,up_in_case,-0.0
CSGALNACT2,0.06768353016261555,0.07678130159451657,-0.00909777143190102,-0.3345839127506703,-0.8424927884335076,0.4090537073238474,1.0,0.053714110945444815,0.05573413086619895,-0.0020200199207541375,15,12,True,down_in_case,-0.0
CSNK1A1,0.4806995122886256,0.4730422063059882,0.007657305982637419,0.10623739989591151,0.27108813957397665,0.7887944624034519,1.0,0.34975341208854227,0.3376191407887749,0.012134271299767352,15,12,True,up_in_case,-0.0
CSNK1G3,0.12889842714568714,0.12080811257130114,0.008090314574385998,0.20325828098066948,0.5335686289622625,0.598388611597974,1.0,0.10545934166762243,0.09436229980154848,0.01109704186607395,15,12,True,up_in_case,-0.0
CSNK2A1,0.26551310073876194,0.25070813938759756,0.01480496135116438,0.25466376159670506,0.665403173999709,0.5119864051124279,1.0,0.21078487594143058,0.19448248874975543,0.01630238719167515,15,12,True,up_in_case,-0.0
CSNK2A2,0.1013887821121831,0.10598333625406699,-0.00459455414188388,-0.22230933219759058,-0.5646880754025726,0.5780064894393389,1.0,0.0859999235386321,0.08530620230874585,0.0006937212298862572,15,12,True,down_in_case,-0.0
CSPP1,0.08106409343082059,0.0759085242374733,0.005155569193347295,0.3003827129045677,0.7782618032445037,0.44401699800760575,1.0,0.06957984478342318,0.0641194063224977,0.005460438460925476,15,12,True,up_in_case,-0.0
CSRP1,0.23077440676805916,0.23645839272454106,-0.005683985956481896,-0.1254164226806392,-0.3352488659839474,0.7402504876932792,1.0,0.1839087051267347,0.17170249042681052,0.012206214699924195,15,12,True,down_in_case,-0.0
CSRP2,0.1778186962902114,0.17582303182176104,0.00199566446845037,0.029471522378133174,0.07725477778413009,0.9390420334764535,1.0,0.12444087624727607,0.13841294686530453,-0.013972070618028465,15,12,True,up_in_case,-0.0
CST3,1.4225826376691932,1.4968410579191846,-0.07425842024999141,-0.258425757083368,-0.625636067431173,0.5404011233069796,1.0,0.6777153343273311,0.6662101350029348,0.011505199324396309,15,12,True,down_in_case,-0.0
CSTF3,0.12661452999528186,0.12300766612674725,0.003606863868534607,0.1332752277553342,0.35563058068845393,0.7251112156562353,1.0,0.11257024888175249,0.10981915755932582,0.002751091322426666,15,12,True,up_in_case,-0.0
CTBP1,0.247245582373079,0.2384823182933441,0.008763264079734906,0.1633697146258655,0.4112389376814502,0.6850932496339227,1.0,0.19975532362273962,0.19655085669564246,0.003204466927097166,15,12,True,up_in_case,-0.0
CTCF,0.13028483159582696,0.1290416921488532,0.0012431394469737678,0.04628618167432885,0.12196253529381272,0.9039066384661784,1.0,0.11136598233742402,0.10417307208541801,0.00719291025200601,15,12,True,up_in_case,-0.0
CTDSPL2,0.10175445089294291,0.10392259739791054,-0.002168146504967633,-0.05920912014600466,-0.15648573361617277,0.8769079385040818,1.0,0.08527354054364032,0.07957626408027503,0.005697276463365292,15,12,True,down_in_case,-0.0
CTGF,0.10691177317873107,0.11260108133723047,-0.005689308158499398,-0.09167746698966213,-0.24267336800447403,0.810238705479424,1.0,0.0561035286921283,0.06968163904184252,-0.01357811034971422,15,12,True,down_in_case,-0.0
CTNNA1,0.4321687759995244,0.4364660145336939,-0.0042972385341694674,-0.04999781824419424,-0.12953492108954995,0.8980135756058658,1.0,0.31962763313835685,0.3117086396288118,0.007918993509545058,15,12,True,down_in_case,-0.0
CTNNAL1,0.18402574240735003,0.1690499940174628,0.014975748389887245,0.265177377712299,0.7227875135976447,0.4769666978264364,1.0,0.15187139197920252,0.1404533638930039,0.011418028086198628,15,12,True,up_in_case,-0.0
CTNNBIP1,0.0823841903061891,0.0899407979301385,-0.007556607623949399,-0.3315180616533729,-0.8410895068204748,0.409417730275893,1.0,0.0710517261153802,0.07532772451575034,-0.004275998400370143,15,12,True,down_in_case,-0.0
CTNNBL1,0.10305246163623247,0.11145883659308592,-0.008406374956853452,-0.34409161688591244,-0.8792338300280826,0.3885045107502816,1.0,0.08586611614481783,0.08156077927159908,0.004305336873218754,15,12,True,down_in_case,-0.0
CTR9,0.1546959265161547,0.14507926814507666,0.009616658371078057,0.27445004931692873,0.7289552612927399,0.4728054240454597,1.0,0.13223993577245097,0.1192945188249434,0.012945416947507574,15,12,True,up_in_case,-0.0
CTSB,0.486996523997031,0.5068250858144298,-0.019828561817398782,-0.17788282579978634,-0.45710329389890825,0.651837806728398,1.0,0.3236609702947586,0.33012829471448135,-0.006467324419722753,15,12,True,down_in_case,-0.0
CTSD,1.4670508852080795,1.4715266128397821,-0.004475727631702675,-0.012600769384105339,-0.03279474767502524,0.9741056446591613,1.0,0.692663531750583,0.6513681974452861,0.04129533430529697,15,12,True,down_in_case,-0.0
CTSH,0.6355725667449008,0.6045454158084905,0.031027150936410286,0.17999770689309494,0.48121627326307137,0.6345730224254378,1.0,0.3714684405704018,0.36967884395002376,0.0017895966203780311,15,12,True,up_in_case,-0.0
CTSL,0.45490886014732834,0.43144299487644205,0.023465865270886288,0.17003157429303792,0.4549310666167627,0.6531129908788559,1.0,0.3364873647589555,0.30572714313665206,0.030760221622303463,15,12,True,up_in_case,-0.0
CTTN,0.363845179339806,0.36759275013111,-0.003747570791304,-0.04739211388166193,-0.12820091315008847,0.8990515713894833,1.0,0.2813778338494476,0.2728289124297733,0.008548921419674282,15,12,True,down_in_case,-0.0
CTTNBP2NL,0.10488510450000615,0.11582094317715808,-0.010935838677151921,-0.2861489246881806,-0.7240032806356371,0.4768706300488164,1.0,0.08431777344496694,0.09106409145540431,-0.006746318010437374,15,12,True,down_in_case,-0.0
CTXN1,0.09597692880743705,0.10169965379993966,-0.005722724992502606,-0.13307395480305198,-0.34931755767743383,0.7297988369981583,1.0,0.08317085292655886,0.09715739162031473,-0.013986538693755865,15,12,True,down_in_case,-0.0
CUEDC1,0.0916399003456724,0.09715269071848477,-0.005512790372812368,-0.25310535059857736,-0.6569056391901611,0.5174542620477397,1.0,0.07976832205528157,0.08175643569891271,-0.001988113643631134,15,12,True,down_in_case,-0.0
CUL1,0.09319263805245916,0.09471312992699638,-0.0015204918745372192,-0.0840798833505122,-0.22691071504072347,0.8223885646849888,1.0,0.08015062889475093,0.077591748888951,0.0025588800057999295,15,12,True,down_in_case,-0.0
CUL2,0.10641825355262302,0.11051374492973198,-0.004095491377108962,-0.1607822651787555,-0.405010648493092,0.6895772351871577,1.0,0.08942156975188287,0.08896777259132962,0.00045379716055324315,15,12,True,down_in_case,-0.0
CUL3,0.24258180162513912,0.22834882636950338,0.014232975255635744,0.24227353577946031,0.6355467605990939,0.5308977061708482,1.0,0.19736590587605612,0.18003186404673394,0.01733404182932219,15,12,True,up_in_case,-0.0
CUL4A,0.1375934452517082,0.13061598840502794,0.006977456846680247,0.2730579537112389,0.6854042332519966,0.5007703492684239,1.0,0.11666093206407463,0.11370433518741091,0.0029565968766637196,15,12,True,up_in_case,-0.0
CUTA,0.9127437882568858,0.9103539946244678,0.0023897936324180913,0.018302438650774192,0.04803980858172826,0.9620692470412312,1.0,0.5479986236953779,0.5444279844592895,0.0035706392360883576,15,12,True,up_in_case,-0.0
