gene,elasticnet_coefficient,abs_elasticnet_coefficient,selected_by_model,best_C,best_l1_ratio,rank_score,adj_p_value,diff_mean_log_expr,cohen_d,pct_expr_case,pct_expr_control
MT-CYB,0.0,0.0,False,0.3593813663804626,0.5,1.3986889745992293,0.011616716861397543,-0.46656441009495087,-1.5493420018669508,0.9983943112742287,0.9999076212471132
TIMP3,0.0,0.0,False,0.3593813663804626,0.5,1.374821738774216,0.003993347652402144,-0.3341907919241208,-1.7150733432779577,0.24286041977290973,0.3856812933025404
ATF3,0.0,0.0,False,0.3593813663804626,0.5,1.355763894231505,0.010678277796533372,-0.43801931285509144,-1.5699806167258872,0.06627289062201323,0.2880369515011547
RCAN1,0.0,0.0,False,0.3593813663804626,0.5,1.3280039362715756,0.0016528607119217025,-0.23345440806896284,-2.044923384522021,0.13285162671560194,0.29325635103926095
ARG2,0.0,0.0,False,0.3593813663804626,0.5,1.3272321112368473,0.0011040354811954402,-0.2283626975425463,-1.9654766976354732,0.10939710211415682,0.2776905311778291
JUND,0.0,0.0,False,0.3593813663804626,0.5,1.2640421546203064,0.017906090048500273,-0.5212852562646944,-1.3880125750321184,0.6203884237489009,0.7670207852193995
COX6C,0.0,0.0,False,0.3593813663804626,0.5,1.245376811821989,0.004870136379137116,-0.31330701165025565,-1.718923870234006,0.7375272393623122,0.8369976905311778
MIDN,0.0,0.0,False,0.3593813663804626,0.5,1.224372309243309,0.0010465240234516762,-0.2055722108457378,-1.9984637702739725,0.16142906296593645,0.34244803695150117
EPAS1,0.0,0.0,False,0.3593813663804626,0.5,1.1810424869162535,0.001717737421518392,-0.2287684385276407,-1.8670996124040156,0.12581718086936575,0.23200923787528868
MT1M,0.0,0.0,False,0.3593813663804626,0.5,1.1403636196737903,0.001956977187214383,-0.22943456817994726,-1.8351408959070077,0.09376075237986008,0.19824480369515013
IDI1,0.0,0.0,False,0.3593813663804626,0.5,1.1279779501680978,0.0006708293272745532,-0.16425812957710909,-2.163966670024039,0.14625148143900293,0.3043418013856813
MCL1,0.0,0.0,False,0.3593813663804626,0.5,1.1236032242537495,0.004516683656797272,-0.27265591500454145,-1.7572024936261128,0.16519478533470963,0.37039260969976906
PTP4A1,0.0,0.0,False,0.3593813663804626,0.5,1.0940876126024686,0.0017084898949138619,-0.20956987917290756,-1.886484536109127,0.1198340788316703,0.31316397228637416
SERTAD1,0.0,0.0,False,0.3593813663804626,0.5,1.0881979667892971,0.006902145598785663,-0.30007161850073727,-1.6781277937285939,0.10435065183316129,0.31242494226327944
MIR22HG,0.0,0.0,False,0.3593813663804626,0.5,1.035927895499297,0.001318072144692114,-0.17054753520946547,-2.1090283703203117,0.08047558970829988,0.25399538106235564
TOB2,0.0,0.0,False,0.3593813663804626,0.5,1.0186863239925135,0.00010494808456781063,-0.09931996642936344,-2.5776692521925932,0.10360515349619605,0.22027713625866052
TCEAL2,0.0,0.0,False,0.3593813663804626,0.5,1.0130598946513782,8.854276052474737e-05,-0.10056682478587121,-2.485536709545401,0.06352028137783385,0.16411085450346422
DDIT4,0.0,0.0,False,0.3593813663804626,0.5,1.0009710585474259,0.0013788077511282147,-0.17791270924455782,-1.9668586935450119,0.08649692242994227,0.19782909930715936
HES4,0.0,0.0,False,0.3593813663804626,0.5,0.990593887899426,0.001956936604236737,-0.20002665667631214,-1.8284843003312714,0.12988874870971442,0.25321016166281757
COX5B,0.0,0.0,False,0.3593813663804626,0.5,0.9900176652356242,0.010036550831302678,-0.3097998005664384,-1.599101453734539,0.770080666743128,0.8505773672055428
NEDD9,0.0,0.0,False,0.3593813663804626,0.5,0.9774216418343591,0.0010218222569671877,-0.16350453087839673,-1.9988962419082663,0.12218526589440686,0.2541339491916859
COX7B,0.0,0.0,False,0.3593813663804626,0.5,0.9748103343716336,0.007770836368359079,-0.2874200727698988,-1.6077438738036882,0.7012463202966701,0.7881755196304849
SLC25A25,0.0,0.0,False,0.3593813663804626,0.5,0.9655727584485412,0.0005391767417107393,-0.12454993400039284,-2.3720493934250384,0.037466070267997094,0.1618013856812933
SLC25A4,0.0,0.0,False,0.3593813663804626,0.5,0.9282738443153292,0.004544842451529926,-0.23700618979686766,-1.6720155695884193,0.287685896700692,0.43912240184757506
SOCS2,0.0,0.0,False,0.3593813663804626,0.5,0.8997947884344965,0.000288008188055719,-0.11453546186055093,-2.218846353238115,0.09144779600107046,0.20244803695150115
UBC,0.0,0.0,False,0.3593813663804626,0.5,0.8820892443178875,0.02001181632126584,-0.37854631810565254,-1.3717449309085066,0.6945368352639829,0.8249884526558892
MAP1LC3A,0.0,0.0,False,0.3593813663804626,0.5,0.871155082495179,0.0017557641028922814,-0.16927897467723663,-1.8676122199785585,0.238827082616508,0.3943187066974596
GRASP,0.0,0.0,False,0.3593813663804626,0.5,0.8685523278408307,0.001096700252692902,-0.13992908563896794,-2.097051927398638,0.029609664716901785,0.10106235565819861
ZBTB16,0.0,0.0,False,0.3593813663804626,0.5,0.8587599705232706,0.000271383510925389,-0.10647836526728548,-2.261405019586879,0.025136674695110297,0.12572748267898384
TMEM204,0.0,0.0,False,0.3593813663804626,0.5,0.8537608606508649,0.0007594220034130838,-0.13026774164283084,-2.1009321404826653,0.03647207248537676,0.10401847575057736
TOB1,0.0,0.0,False,0.3593813663804626,0.5,0.8467456429160103,0.004986399283136967,-0.2179225630040892,-1.687738977464436,0.25922315250219824,0.42290993071593536
UBE2B,0.0,0.0,False,0.3593813663804626,0.5,0.8460131018443442,0.0014097491580520602,-0.15383987326487364,-1.9290015018083007,0.3364873647589555,0.5018937644341801
